S0:
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 
24:  0  6  4  4 12  4  2  4  6  6  4  2  4  2  0  4 
25:  2  8  2  2  4  6  4  0  0  8  0  2  8  8  0 10 
26:  0  6 10  0  4  0  4  4  4  2  4  6  2  2  4 12 
27:  0  2  8  4  2  0  8  8  4  4  2  4  4  0 12  2 
28:  0  2  8  4  8  2  8  4  6  6  6  4  0  0  4  2 
29:  8  2 10  4  0  4  6  2  0  6  6  4  0  0  6  6 
30:  0  6  6  2  6  2  0  2 12  2  0  4  6 10  2  4 
31:  4  2  4  2  6 10  0  0  2  8  0  2  4 12  4  4 
32:  2  2  2  0  0  6  4  8  4  0 10  8  0  6  6  6 
33:  0  2  4  8  2  2 10  0  0  2  2  2  4  4 18  4 
34: 12  4  4  6 10  2  2  4  2  6  2  0  0  4  4  2 
35:  0 10  0  6  0 10  2  4 10  6  2  6  2  6  0  0 
36:  2 10  0  4 12  8  6  2  8  2  2  4  2  0  0  2 
37: 10  4  4  4  6 12  0  4  2  4  0  0  0 10  2  2 
38:  0  2  4  8  4  0  2  4  6  6 10  0  4  2 10  2 
39:  4  0 12  0  2  6  2  2  2  0  4  6  6  0 12  6 
40:  4 10  4  2  4  4  6  2  4  6  0  2  8  4  2  2 
41: 10  2  4  4  4  2  4  2  8  4  4  4  2  8  0  2 
42:  4  0  2  6  4  2  0  6  2  6  2  6  2  4  8 10 
43:  2  2  4  4  2  0 10  8  2  0  4 10  2  2  2 10 
44:  4  0 14  2  0  4  4  8  4  2  4 10  2  4  0  2 
45:  2  2  2 14  4  4  0  4  0  4  2  6  2  6  8  4 
46:  4  4  2  4  6  6  4  2  2  4  2  2  6  8  6  2 
47:  8  2  2  0 16  4  4  0 12  4  2  2  2  4  2  0 
48:  2 10  0  2  2  6  2  0  6  8  0  4  8  6  4  4 
49:  8  4  2  2  0  2  2  4  6 10  4  4  8  2  2  4 
50:  6  0  4  6  4  4 10  2  0  2 10  4  2  2  8  0 
51:  6  2 12  2  4  2 12  4  2  0  0  4  2  2  2  8 
52:  0  2 12  4  4  2 12  4  4  0  8  2  0  4  0  6 
53:  2  2  6  4  2  0  4 12  2  6  8  6  2  0  2  6 
54:  0  2  2  2  4  8  2  0  2 12  2  6  0 16  0  6 
55:  6  8  4  2  0  2  0  2  4  8  0  4 12  4  6  2 
56:  2  8  8  6  0  2  0  6  0  6  2  4  4  2  4 10 
